globalSpinIndex,baseSpinIndex,state,outcomeId,type,winAmount,triggeredFeatureId,patternSource,winConditionType,generatedWinLine,anchorsCount,visualRequestedType,visualAppliedType,visualApplied,visualPaylinesChosen,visualAttemptsUsed,visualGuardFailReason,visualSeed,teaseEligible,teaseChanceUsed,teaseRoll,teaseBlockedBy,visualGuardFailDetail,visualAttemptReasons,expectedWinAmount,evaluatedWinAmount,evaluationMatch,evaluatedEventCount,evaluatedRuleTypes,eventsJson
1124,1024,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,991671503,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1125,1025,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,3,,924664750,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_1;ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,
1126,1026,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,857657997,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_4;SUCCESS,0,0,true,0,,
1127,1027,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,790651244,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1128,1028,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,723644491,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,0,0,true,0,,
1129,1029,BASE,SMALL_WIN,WIN,2,,GENERATED,LINE,3,3,NONE,NONE,false,,1,,2087586387,true,0.08,0.4071891061030328,CHANCE_MISS,,SUCCESS,2,2,true,1,LINE,"[{""eventId"":""LINE_3_L1_3"",""ruleType"":""LINE"",""winAmount"":2,""paidSymbolId"":""L1"",""displaySymbolId"":""L1"",""positions"":[[0,0],[1,1],[2,2]],""matchCount"":3,""paylineIndex"":3,""metadata"":{}}]"
1130,1030,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,817510828,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_3;SUCCESS,0,0,true,0,,
1131,1031,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,884517581,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,0,0,true,0,,
1132,1032,BASE,NEAR_MISS_1,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,2,3,,459782548,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_4;ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,
1133,1033,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,4,,1018531087,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_2;ACCIDENTAL_WIN_PAYLINE_1;ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,
